kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu
ProfilerStep*,28607008.916,52130.239000059664,14303504.458,2
aten::empty,4066.3829999882837,4066.3829999882837,9.567959999972432,425
aten::random_,1467.0570000000007,1467.0570000000007,733.5285000000003,2
aten::item,996.1880000362853,655.678000048616,4.611981481649469,216
aten::_local_scalar_dense,340.5099999876693,340.5099999876693,1.5764351851280987,216
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,34214.63799999869,10113.521000008652,11404.879333332896,3
aten::randperm,1242.8999999999996,1056.0979999999981,621.4499999999998,2
aten::scalar_tensor,82.9069999991807,82.9069999991807,6.377461538398515,13
aten::resize_,75.53000001707733,75.53000001707733,2.6975000006099044,28
aten::resolve_conj,333.3719999911482,333.3719999911482,0.4924254061907654,677
aten::resolve_neg,0.2970000000022992,0.2970000000022992,0.2970000000022992,1
aten::select,791.9159999903422,675.8280000072155,5.076384615322707,156
aten::as_strided,2522.087000015312,2522.087000015312,2.846599322816379,886
aten::stack,22338.766000000007,19598.336999998533,2482.085111111112,9
aten::cat,2595.3590000005424,2595.3590000005424,288.3732222222825,9
aten::view,5249.3929999397515,5249.3929999397515,9.475438628050092,554
aten::unsqueeze,125.22000000197295,93.35999999722844,2.6087500000411032,48
aten::to,7898166.755999979,3780.6599999674436,4967.400475471684,1590
Optimizer.zero_grad#Adam.zero_grad,647.5589999989897,647.5589999989897,323.7794999994949,2
aten::embedding,7947322.523,26287.31899999827,1986830.63075,4
aten::reshape,61967.56200003342,2330.164000040022,159.71021134029232,388
aten::index_select,7920982.241000001,7920880.103999998,1980245.5602500003,4
aten::slice,176.75300000142306,157.2920000012964,22.094125000177883,8
aten::add,38074.063999992795,26303.72299999837,1464.3870769228,26
aten::layer_norm,72254.78000000119,171.13599999342114,2779.0300000000457,26
aten::native_layer_norm,72083.64400000777,70655.36700001173,2772.447846154145,26
aten::dropout,115062.25199999567,1928.8480000142008,4109.3661428569885,28
aten::empty_like,5438.145999976434,1590.9309999849647,16.281874251426448,334
aten::empty_strided,12110.830999999307,12110.830999999307,7.0823573099411155,1710
aten::bernoulli_,67016.52600000985,66105.24100000318,2393.447357143209,28
aten::div_,23984.0179999955,20956.02499999944,856.5720714284107,28
aten::_to_copy,7894386.096000011,14309.049999988638,5363.0340326087035,1472
aten::copy_,7953189.397999996,7953189.397999996,4825.964440533979,1648
aten::mul,62227.53199997544,61256.15399997495,598.3416538459177,104
aten::eq,57.21900000330061,57.21900000330061,28.609500001650304,2
aten::all,41570.438000008464,41440.27299999539,2969.3170000006044,14
aten::fill_,126399.13800002914,126399.13800002914,702.2174333334953,180
aten::is_nonzero,19.891999999061227,8.671999998390675,9.945999999530613,2
aten::linear,16029478.40999997,7516.255999971181,105457.09480263139,152
aten::t,8776.247000027448,4098.850000066683,23.095386842177493,380
aten::transpose,6940.130999997258,4814.403999958187,12.664472627732223,548
aten::addmm,4113214.8659999743,4086425.4419999607,54121.24823684177,76
aten::expand,1226.5690000075847,1006.294000018388,9.891685483932134,124
aten::scaled_dot_product_attention,269509.8220000025,10997.123000003397,22459.15183333354,12
aten::_scaled_dot_product_attention_math,258512.6989999991,1222.2800000086427,21542.72491666659,12
aten::matmul,111167.93799999915,900.7729999870062,4631.997416666632,24
aten::clone,58408.975999988616,1050.4309999980032,608.4268333332147,96
aten::_unsafe_view,1578.8160000108182,1578.8160000108182,14.618666666766835,108
aten::bmm,119986.59199999645,119926.98299997859,1666.4804444443953,72
aten::_safe_softmax,52669.076999993995,698.6089999955148,4389.0897499995,12
aten::softmax,19043.403000002727,2017.4520000126213,1586.9502500002272,12
aten::_softmax,17025.950999990106,17025.950999990106,1418.8292499991755,12
aten::isneginf,16367.534999994561,16367.534999994561,1363.9612499995467,12
aten::where,5539.624999996275,5539.624999996275,461.6354166663562,12
aten::contiguous,2525.2469999976456,48.893000001087785,210.4372499998038,12
aten::gelu,147395.4320000019,147395.4320000019,12282.952666666824,12
aten::relu,114.41200000047684,41.48299999907613,57.20600000023842,2
aten::clamp_min,72.92900000140071,72.92900000140071,36.464500000700355,2
aten::cross_entropy_loss,3462.4739999957383,1733.4010000005364,1731.2369999978691,2
aten::log_softmax,112.20099999755621,28.158999998122454,56.100499998778105,2
aten::_log_softmax,81.85200000181794,81.85200000181794,40.92600000090897,2
aten::nll_loss_nd,1616.8719999976456,786.465999994427,808.4359999988228,2
aten::nll_loss,830.4060000032187,787.8060000054538,415.2030000016093,2
aten::nll_loss_forward,42.599999997764826,42.599999997764826,21.299999998882413,2
aten::ones_like,63.63299999758601,13.535999994724989,31.816499998793006,2
autograd::engine::evaluate_function: NllLossBackward0,3135.4140000008047,24.984000004827976,1567.7070000004023,2
NllLossBackward0,3110.4299999959767,1479.1139999963343,1555.2149999979883,2
aten::nll_loss_backward,1631.3159999996424,1628.6959999985993,815.6579999998212,2
aten::zero_,126292.74699999392,514.014999974519,517.5932254098111,244
autograd::engine::evaluate_function: LogSoftmaxBackward0,1703.6610000021756,15.322000000625849,851.8305000010878,2
LogSoftmaxBackward0,1688.3390000015497,27.20600000396371,844.1695000007749,2
aten::_log_softmax_backward_data,1661.132999997586,1661.132999997586,830.566499998793,2
autograd::engine::evaluate_function: ToCopyBackward0,70012.66600000486,3033.930999979377,277.82803968255894,252
ToCopyBackward0,53323.581000018865,1283.6509999893606,211.60151190483677,252
autograd::engine::evaluate_function: AddmmBackward0,6591552.692999996,3842.7880000136793,86730.95648684206,76
AddmmBackward0,6559851.750000007,6618.867000002414,86313.83881578957,76
aten::mm,6546973.912000015,6546789.622000065,43072.19678947378,152
aten::sum,27552.885000005364,27058.608000010252,353.24211538468415,78
autograd::engine::evaluate_function: TBackward0,2744.0150000080466,551.3029999956489,36.105460526421666,76
TBackward0,2192.7120000123978,1075.4629999920726,28.851473684373655,76
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,3235.1119999848306,810.6739999428391,15.553423076850148,208
torch::autograd::AccumulateGrad,2424.4380000419915,1104.0730000399053,11.655951923278804,208
aten::detach,1320.3650000020862,424.375999994576,6.347908653856184,208
detach,895.9890000075102,895.9890000075102,4.30763942311303,208
autograd::engine::evaluate_function: MulBackward0,8912.455999981612,319.5239999741316,318.3019999993433,28
