kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu
aten::empty,28391.682000020402,28391.682000020402,10.705762443446607,2652
aten::random_,1848.250000000001,1848.250000000001,924.1250000000005,2
aten::item,7742.299000104676,5090.329000051326,4.517093932383125,1714
aten::_local_scalar_dense,2651.9700000533503,2651.9700000533503,1.5472403734266922,1714
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,30057.050999960644,14874.297999894552,1768.0618235270967,17
aten::randperm,1609.7199999960649,1304.934999976991,402.4299999990162,4
aten::scalar_tensor,714.305000013348,714.305000013348,7.288826530748449,98
aten::resize_,613.5620000107374,613.5620000107374,2.8941603774091385,212
aten::resolve_conj,2676.5230001865257,2676.5230001865257,0.49473622923965355,5410
aten::resolve_neg,0.6699999991651566,0.6699999991651566,0.3349999995825783,2
aten::select,3996.156000030671,3404.485999902936,4.625180555591054,864
aten::as_strided,20246.63299992212,20246.63299992212,3.0788675486499573,6576
aten::stack,10654.674999997897,7239.382000083842,221.9723958332895,48
aten::cat,2710.2509999698304,2710.2509999698304,56.46356249937147,48
aten::view,41312.40099971116,41312.40099971116,9.355163269862128,4416
aten::unsqueeze,625.257999958576,471.9079999654823,2.4424140623381874,256
aten::to,4637969.990999352,28654.229999098217,386.7553361407065,11992
Optimizer.zero_grad#Adam.zero_grad,19761.348000010967,19761.348000010967,617.5421250003427,32
aten::embedding,1965930.0690000113,9897.43600004469,61435.31465625035,32
aten::reshape,395728.8899999353,18970.05900028433,127.48997744843275,3104
aten::index_select,1955818.017999984,1955327.6410000455,61119.3130624995,32
aten::slice,891.2659999679308,773.3679999525193,13.92603124949892,64
aten::add,212439.87099994486,143168.35599996988,1021.345533653581,208
aten::layer_norm,172834.0609999313,1301.9819999560714,830.9329855765928,208
aten::native_layer_norm,171532.07899997523,164036.43800004665,824.6734567306502,208
aten::dropout,345536.98899999284,7114.456000124104,1542.575843749968,224
aten::empty_like,26532.772999860812,7634.785999784945,21.819714638043433,1216
aten::empty_strided,75684.29799998854,75684.29799998854,6.191451079841995,12224
aten::bernoulli_,176058.76099995757,172811.9709999701,785.9766116069534,224
aten::div_,54620.94299997087,46227.888000004226,243.84349553558422,224
aten::_to_copy,4609315.761000254,105578.72500087996,391.41608024798353,11776
aten::copy_,4918803.012999787,4918803.012999787,373.08882076758096,13184
aten::mul,366595.9059999911,358755.80399995577,440.6200793269124,832
aten::eq,364.93000000319444,364.93000000319444,22.808125000199652,16
