kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu
ProfilerStep*,11212828.279000001,67915.13100001588,5606414.1395000005,2
aten::empty,8255.228999963634,8255.228999963634,7.61552490771553,1084
aten::random_,1750.990999999999,1750.990999999999,875.4954999999995,2
aten::item,468.3700000045337,333.3199999790995,2.168379629650619,216
aten::_local_scalar_dense,135.0500000254342,135.0500000254342,0.6252314815992324,216
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,39371.84599999998,9675.397999997818,13123.948666666662,3
aten::randperm,1343.4189999999999,1137.5310000000009,671.7094999999999,2
aten::scalar_tensor,118.66599999885511,118.66599999885511,9.128153846065779,13
aten::resize_,126.87899999849469,126.87899999849469,4.531392857089096,28
aten::resolve_conj,75.10299999047129,75.10299999047129,0.5179517240722158,145
aten::resolve_neg,0.2540000000008149,0.2540000000008149,0.2540000000008149,1
aten::select,2376.070999998494,2072.5990000009206,10.607459821421847,224
aten::as_strided,1353.1059999979097,1353.1059999979097,2.6688481262286188,507
aten::stack,27610.581000000737,4919.190999995695,3067.8423333334154,9
aten::cat,22524.330000000766,31.994000000955566,2502.7033333334184,9
torch_ipex::cat_cpu,22492.33599999981,22.616000001165958,2499.148444444423,9
torch_ipex::cat_out_cpu,22469.719999998644,22268.314999999224,2496.635555555405,9
aten::narrow,135.16999999965628,62.532000000246626,15.018888888850698,9
aten::slice,288.72399999968184,225.091000000004,16.98376470586364,17
aten::view,5105.071999998545,5105.071999998545,8.052164037852595,634
aten::unsqueeze,150.3000000041793,89.7470000039466,3.131250000087069,48
aten::to,54527.81200000819,1090.5490000068894,106.08523735410154,514
Optimizer.zero_grad#Adam.zero_grad,604.4379999996527,604.4379999996527,302.21899999982634,2
aten::embedding,4188.720000000503,3459.4059999990277,1047.1800000001258,4
aten::reshape,69813.5830000163,3596.070000006497,115.58540231790778,604
aten::index_select,693.0970000004891,17.45000000053551,173.27425000012227,4
torch_ipex::index_select_cpu_,675.6469999999536,655.0550000000949,168.9117499999884,4
aten::add,7140.260000000875,7140.260000000875,274.6253846154183,26
aten::layer_norm,24148.52300000051,733.9009999981499,928.7893461538658,26
torch_ipex::layer_norm,23414.62200000236,172.9870000028095,900.5623846154754,26
aten::native_layer_norm,23241.63499999955,22721.360000000088,893.9090384615212,26
aten::dropout,86555.25599999938,1179.8280000023005,3091.259142857121,28
aten::empty_like,11253.583000011968,2870.9800000120667,22.96649591839177,490
aten::empty_strided,8799.236000005854,8799.236000005854,11.194956743009993,786
aten::bernoulli_,50980.084000000366,50690.266000001364,1820.717285714299,28
aten::div_,13372.155999997296,12386.378999997643,477.5769999999034,28
aten::_to_copy,53437.2630000013,3747.019000005559,134.94258333333661,396
aten::copy_,109652.97499998825,109652.97499998825,219.3059499999765,500
aten::mul,74685.20099999975,72078.99600000512,718.1269326923053,104
aten::eq,45.93600000051083,45.93600000051083,22.968000000255415,2
aten::all,21097.648000000932,20959.49300000294,1506.9748571429238,14
