kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu
ProfilerStep*,21404349.546000004,69217.06699997,10702174.773000002,2
aten::empty,6198.086000029963,6198.086000029963,5.71779151294277,1084
aten::random_,1621.063,1621.063,810.5315,2
aten::item,483.1750000405318,313.41000007191724,2.2369212964839438,216
aten::_local_scalar_dense,169.76499996861457,169.76499996861457,0.7859490739287712,216
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,32059.77400000009,9389.816999991563,10686.591333333363,3
aten::randperm,1345.339,1117.107,672.6695,2
aten::scalar_tensor,161.89700000111952,161.89700000111952,12.453615384701502,13
aten::resize_,64.79100000305516,64.79100000305516,2.3139642858233986,28
aten::resolve_conj,76.34900002459108,76.34900002459108,0.5265448277558006,145
aten::resolve_neg,0.1679999999996653,0.1679999999996653,0.1679999999996653,1
aten::select,2635.851000000792,2281.709999987661,7.162638586958673,368
aten::as_strided,1505.3040000277051,1505.3040000277051,2.153510729653369,699
aten::stack,20394.84000000402,4317.006999997993,2266.09333333378,9
aten::cat,15876.895999999124,28.04199999896082,1764.0995555554582,9
torch_ipex::cat_cpu,15848.854000000163,18.847999998692103,1760.983777777796,9
torch_ipex::cat_out_cpu,15830.006000001471,15630.32300000231,1758.889555555719,9
aten::narrow,140.31599999857644,58.23399999731191,15.590666666508493,9
aten::slice,267.1820000051048,231.52900000522277,15.716588235594399,17
aten::view,5319.544999996273,5319.544999996273,8.390449526808002,634
aten::unsqueeze,184.59300000565418,145.52800000229036,1.9228437500588977,96
aten::to,85285.12499996775,1179.0769999379772,165.92436770421742,514
Optimizer.zero_grad#Adam.zero_grad,1349.2150000008332,1349.2150000008332,337.3037500002083,4
aten::embedding,4510.837999999181,3206.7859999992725,1127.7094999997953,4
aten::reshape,116075.3159999648,3964.6859999725857,192.17767549663048,604
aten::index_select,1256.6779999986902,31.26999999832333,314.16949999967255,4
torch_ipex::index_select_cpu_,1225.4080000003669,1204.0539999984103,306.3520000000917,4
aten::add,13284.726000002185,13284.726000002185,510.95100000008404,26
aten::layer_norm,32928.55900000021,734.7089999964664,1266.4830384615466,26
torch_ipex::layer_norm,32193.850000003746,156.7630000005738,1238.225000000144,26
aten::native_layer_norm,32037.087000003172,31488.0150000001,1232.195653846276,26
aten::dropout,132444.96600000127,1383.2349999863727,4730.177357142902,28
aten::empty_like,12589.159999989584,2885.8499999700143,25.692163265284865,490
aten::empty_strided,10144.318999995812,10144.318999995812,12.906258269714774,786
aten::bernoulli_,78261.36600000731,78010.98100000687,2795.0487857145467,28
aten::div_,15996.48199999913,14929.176999997508,571.3029285713975,28
aten::_to_copy,84106.04800002977,4041.5420000524755,212.38901010108526,396
aten::copy_,193341.3589999917,193341.3589999917,386.6827179999834,500
aten::mul,123840.4859999998,121090.67600000469,1190.7739038461518,104
aten::eq,64.36400000128197,64.36400000128197,32.18200000064098,2
aten::all,28544.412000000055,28362.547999998627,2038.8865714285753,14
aten::fill_,94101.71999999046,94101.71999999046,522.7873333332803,180
aten::is_nonzero,20.326999999713735,7.837999999086605,10.163499999856867,2
torch_ipex::ipex_linear,13543415.281000005,6770046.05300001,89101.41632236846,152
IPEXLinearOp::forward,6770168.053000003,688.75900000197,89081.1585921053,76
IPEXLinearOp::_forward,6769479.294000002,193.88299999236187,89072.09597368423,76
aten::transpose,3481.763999992312,2631.461999983352,20.724785714239953,168
aten::scaled_dot_product_attention,481164.4040000031,7948.16500000254,40097.033666666925,12
aten::_scaled_dot_product_attention_math,473216.2390000006,1631.4339999999502,39434.68658333338,12
aten::matmul,190419.17800000258,5089.253999992565,7934.132416666774,24
aten::expand,1004.1060000021826,786.5049999994226,20.91887500004547,48
aten::clone,119150.8659999937,1584.8179999926942,1191.508659999937,100
aten::_unsafe_view,2142.362000010675,2142.362000010675,22.31627083344453,96
