kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu,cuda_time_total_us,self_cuda_time_total_us,cuda_time_avg_us
cudaMemcpyAsync,340.45400000020345,340.45400000020345,17.022700000010172,20,0,0,0.0
Memcpy HtoD (Pageable -> Device),0,0,0.0,6,14.208000000413449,14.208000000413449,2.3680000000689083
cudaStreamSynchronize,60750.68200000012,60750.68200000012,4339.334428571437,14,0,0,0.0
cudaLaunchKernel,707834.1680000025,11238.784000002473,547.8592631578966,1292,0,0,0.0
Unrecognized,807705.8240000003,807705.8240000003,3558.1754361233493,227,0,0,0.0
"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0,0,0.0,4,222.87600000012026,222.87600000012026,55.719000000030064
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,0.0,2,124.82999999995809,124.82999999995809,62.414999999979045
cudaStreamIsCapturing,158.97500000032596,158.97500000032596,1.2323643410877982,129,0,0,0.0
cudaMalloc,7473.74199999962,7473.74199999962,141.01399999999282,53,0,0,0.0
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,0.0,26,2391.21099999969,2391.21099999969,91.96965384614192
"void at::native::(anonymous namespace)::fused_dropout_kernel_vec<float, float, unsigned int, 1, 4, bool>(at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<bool, unsigned int>, unsigned int, float, at::PhiloxCudaState)",0,0,0.0,2,133.18199999985518,133.18199999985518,66.59099999992759
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul>)",0,0,0.0,2,7.521000000124332,7.521000000124332,3.760500000062166
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4>)",0,0,0.0,2,19.263999999966472,19.263999999966472,9.631999999983236
cudaHostAlloc,1311.2249999999476,1311.2249999999476,655.6124999999738,2,0,0,0.0
Memcpy DtoH (Device -> Pinned),0,0,0.0,8,18.207999999751337,18.207999999751337,2.275999999968917
