kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu,cuda_time_total_us,self_cuda_time_total_us,cuda_time_avg_us
cudaMemcpyAsync,346.7900000000718,346.7900000000718,17.33950000000359,20,0,0,0.0
Memcpy HtoD (Pageable -> Device),0,0,0.0,6,13.471999999972468,13.471999999972468,2.2453333333287446
cudaStreamSynchronize,58302.90399999944,58302.90399999944,4164.493142857103,14,0,0,0.0
cudaLaunchKernel,761615.3969999953,11386.06499999571,589.4856013931852,1292,0,0,0.0
Unrecognized,900927.078999999,900927.078999999,3968.8417577092464,227,0,0,0.0
"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0,0,0.0,4,219.13199999988137,219.13199999988137,54.78299999997034
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,0.0,2,123.06799999998475,123.06799999998475,61.533999999992375
cudaStreamIsCapturing,176.27499999999418,176.27499999999418,1.366472868217009,129,0,0,0.0
cudaMalloc,7906.530000000057,7906.530000000057,149.1798113207558,53,0,0,0.0
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,0.0,26,2340.7509999989998,2340.7509999989998,90.02888461534614
"void at::native::(anonymous namespace)::fused_dropout_kernel_vec<float, float, unsigned int, 1, 4, bool>(at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<bool, unsigned int>, unsigned int, float, at::PhiloxCudaState)",0,0,0.0,2,131.64600000018254,131.64600000018254,65.82300000009127
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul>)",0,0,0.0,2,7.5190000000584405,7.5190000000584405,3.7595000000292202
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4>)",0,0,0.0,2,18.911999999923864,18.911999999923864,9.455999999961932
cudaHostAlloc,1258.1739999997953,1258.1739999997953,629.0869999998977,2,0,0,0.0
Memcpy DtoH (Device -> Pinned),0,0,0.0,8,18.751999999949476,18.751999999949476,2.3439999999936845
"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,0.0,226,5042.711000000301,5042.711000000301,22.312880530974784
cudaFree,3784.457999999984,3784.457999999984,1892.228999999992,2,0,0,0.0
cudaDeviceGetAttribute,21.786999999778345,21.786999999778345,0.7781071428492267,28,0,0,0.0
cudaGetDriverEntryPoint,2.0619999999762513,2.0619999999762513,1.0309999999881256,2,0,0,0.0
cudaGetSymbolAddress,23938.761999999988,23765.276999999944,23938.761999999988,1,0,0,0.0
cudaFuncSetAttribute,113943.07199999993,325.13900000066496,1055.0284444444437,108,0,0,0.0
cudaOccupancyMaxActiveBlocksPerMultiprocessor,509.26899999950547,209.62299999943934,5.417755319143676,94,0,0,0.0
turing_fp16_s1688gemm_fp16_128x256_ldg8_relu_f2f_stages_32x1_tn,0,0,0.0,48,10802.522999999579,10802.522999999579,225.05256249999124
"fmha_cutlassF_f16_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",0,0,0.0,12,1961.6559999997262,1961.6559999997262,163.47133333331053
