kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls
cudaEventQuery,129.4249999994072,129.4249999994072,0,0,34
cudaMemcpyAsync,2722.861000002121,2722.861000002121,0,0,234
Memcpy HtoD (Pageable -> Device),0,0,15.521999999800755,15.521999999800755,9
cudaStreamSynchronize,96983.54499999902,96929.27599999917,0,0,18
cudaStreamIsCapturing,232.43199999945955,232.43199999945955,0,0,132
cudaEventRecord,217.34900000022617,217.34900000022617,0,0,83
cudaStreamWaitEvent,105.08699999958071,105.08699999958071,0,0,56
cudaStreamGetCaptureInfo_v2,21.344000000213782,21.344000000213782,0,0,14
cudaLaunchKernelExC,233.92099999998572,233.92099999998572,0,0,14
"ncclDevKernel_Broadcast_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",0,0,60.381000000067615,60.381000000067615,5
Memcpy DtoH (Device -> Pageable),0,0,6.4639999999553766,6.4639999999553766,3
cudaLaunchKernel,749782.680999995,18930.420999995258,0,0,1500
Unrecognized,805230.4209999994,805194.1549999997,0,0,226
"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0,0,191.00299999985145,191.00299999985145,4
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,116.35000000020955,116.35000000020955,2
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,1998.5600000005506,1998.5600000005506,26
"void at::native::(anonymous namespace)::fused_dropout_kernel_vec<float, float, unsigned int, 1, 4, bool>(at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<bool, unsigned int>, unsigned int, float, at::PhiloxCudaState)",0,0,130.27100000000792,130.27100000000792,2
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, bool, at::native::(anonymous namespace)::CompareEqFunctor<long> >, std::array<char*, 2ul>)",0,0,6.59200000014971,6.59200000014971,2
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4>)",0,0,16.22400000016205,16.22400000016205,2
cudaHostAlloc,65.68200000014622,65.68200000014622,0,0,2
Memcpy DtoH (Device -> Pinned),0,0,15.966999999829568,15.966999999829568,8
"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,5110.29399999883,5110.29399999883,226
cudaFree,5531.205000000016,5531.205000000016,0,0,2
cudaDeviceGetAttribute,27.591999999829568,27.591999999829568,0,0,28
cudaGetDriverEntryPoint,2.2499999999417923,2.2499999999417923,0,0,2
cudaGetSymbolAddress,25253.299,25113.95900000009,0,0,1
cudaMalloc,16006.564999999944,16006.564999999944,0,0,42
cudaFuncSetAttribute,63493.675999999105,510.68699999927776,0,0,108
cudaOccupancyMaxActiveBlocksPerMultiprocessor,565.0580000004265,304.0530000004219,0,0,94
turing_fp16_s1688gemm_fp16_128x256_ldg8_relu_f2f_stages_32x1_tn,0,0,8946.987000000081,8946.987000000081,48
"fmha_cutlassF_f16_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",0,0,1759.6189999998314,1759.6189999998314,12
"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>)",0,0,1976.1620000005933,1976.1620000005933,24
turing_fp16_s1688gemm_fp16_256x128_ldg8_relu_f2f_tn,0,0,5504.772999999463,5504.772999999463,12
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul>)",0,0,1335.8810000001686,1335.8810000001686,12
cudaMemsetAsync,908.0889999996871,908.0889999996871,0,0,98
Memset (Device),0,0,338.1039999987697,338.1039999987697,96
turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn,0,0,5181.865000000573,5181.865000000573,12
