kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls
cudaEventQuery,122.19200000075261,122.19200000075261,0,0,34
cudaMemcpyAsync,3099.4350000037693,3099.4350000037693,0,0,234
Memcpy HtoD (Pageable -> Device),0,0,16.001999999595682,16.001999999595682,9
cudaStreamSynchronize,85102.14399999942,85037.81099999885,0,0,18
cudaStreamIsCapturing,234.17599999712002,234.17599999712002,0,0,132
cudaEventRecord,774.2500000013952,774.2500000013952,0,0,83
cudaStreamWaitEvent,101.17700000070727,101.17700000070727,0,0,56
cudaStreamGetCaptureInfo_v2,22.654999999439497,22.654999999439497,0,0,14
cudaLaunchKernelExC,260.6839999992935,260.6839999992935,0,0,14
"ncclDevKernel_Broadcast_RING_LL(ncclDevComm*, unsigned long, ncclWork*)",0,0,66.42999999969561,66.42999999969561,5
Memcpy DtoH (Device -> Pageable),0,0,6.719999999664651,6.719999999664651,3
cudaLaunchKernel,1518790.9400000009,20188.99600000016,0,0,1500
Unrecognized,1624959.7940000007,1624942.0520000006,0,0,226
"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0,0,208.76400000031572,208.76400000031572,4
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,118.7180000001681,118.7180000001681,2
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,2221.329999999434,2221.329999999434,26
