batch_idx,memory_cpu_mb,memory_gpu0_mb,batch_size,device_map
0,1631.71484375,167.73828125,16,auto
1,1653.22265625,167.73828125,16,auto
2,2091.1328125,167.73828125,16,auto
3,2091.1328125,167.73828125,16,auto
4,2091.1328125,167.73828125,16,auto
5,2091.1328125,167.73828125,16,auto
6,2091.1328125,167.73828125,16,auto
7,2091.1328125,167.73828125,16,auto
8,2091.1328125,167.73828125,16,auto
9,2091.1328125,167.73828125,16,auto
10,2091.1328125,167.73828125,16,auto
11,2091.1328125,167.73828125,16,auto
12,2091.1328125,167.73828125,16,auto
13,2091.1328125,167.73828125,16,auto
14,2091.1328125,167.73828125,16,auto
15,2091.1328125,167.73828125,16,auto
