batch_idx,memory_cpu_mb,batch_size
0,1180.25,1
1,1344.19140625,1
2,1411.07421875,1
3,1411.07421875,1
4,1411.15234375,1
5,1411.15234375,1
6,1411.15234375,1
7,1411.15234375,1
8,1411.1640625,1
9,1411.1640625,1
10,1411.1640625,1
11,1411.1640625,1
12,1411.1640625,1
13,1411.1640625,1
14,1411.1640625,1
15,1411.1640625,1
16,1411.1640625,1
17,1411.1640625,1
18,1411.1640625,1
19,1411.1640625,1
20,1411.1640625,1
21,1411.1640625,1
22,1411.1640625,1
23,1411.1640625,1
24,1411.1640625,1
25,1411.1640625,1
26,1411.1640625,1
27,1411.1640625,1
28,1411.1640625,1
29,1411.1640625,1
30,1411.1640625,1
31,1411.1640625,1
32,1411.1640625,1
33,1411.1640625,1
34,1411.1640625,1
35,1411.1640625,1
36,1411.1640625,1
37,1411.1640625,1
38,1411.1640625,1
39,1411.1640625,1
40,1411.1640625,1
41,1411.1640625,1
42,1411.1640625,1
43,1411.1640625,1
44,1411.1640625,1
45,1411.1640625,1
46,1411.1640625,1
47,1411.1640625,1
48,1411.1640625,1
49,1411.1640625,1
50,1411.1640625,1
51,1411.1640625,1
52,1411.1640625,1
53,1411.1640625,1
54,1411.1640625,1
55,1411.1640625,1
56,1411.1640625,1
57,1411.1640625,1
58,1411.1640625,1
59,1411.1640625,1
60,1411.1640625,1
61,1411.1640625,1
62,1411.1640625,1
63,1411.1640625,1
64,1411.1640625,1
65,1411.1640625,1
66,1411.1640625,1
67,1411.1640625,1
68,1411.1640625,1
69,1411.1640625,1
70,1411.1640625,1
71,1411.1640625,1
72,1411.1640625,1
73,1411.1640625,1
74,1411.1640625,1
75,1411.1640625,1
76,1411.1640625,1
77,1411.1640625,1
78,1411.1640625,1
79,1411.1640625,1
80,1411.1640625,1
81,1411.1640625,1
82,1411.1640625,1
83,1411.1640625,1
84,1411.1640625,1
85,1411.1640625,1
86,1411.1640625,1
87,1411.1640625,1
88,1411.1640625,1
89,1411.1640625,1
90,1411.1640625,1
91,1411.1640625,1
92,1411.1640625,1
93,1411.1640625,1
94,1411.1640625,1
95,1411.1640625,1
96,1411.1640625,1
97,1411.1640625,1
98,1411.1640625,1
99,1411.1640625,1
100,1411.1640625,1
101,1411.1640625,1
102,1411.1640625,1
103,1411.1640625,1
104,1411.1640625,1
105,1411.1640625,1
106,1411.1640625,1
107,1411.1640625,1
108,1411.1640625,1
109,1411.1640625,1
110,1411.1640625,1
111,1411.1640625,1
112,1411.1640625,1
113,1411.1640625,1
114,1411.1640625,1
115,1411.1640625,1
116,1411.1640625,1
117,1411.1640625,1
118,1411.1640625,1
119,1411.1640625,1
120,1411.1640625,1
121,1411.1640625,1
122,1411.1640625,1
123,1411.1640625,1
124,1411.1640625,1
125,1411.1640625,1
126,1411.1640625,1
127,1411.1640625,1
128,1411.1640625,1
129,1411.1640625,1
130,1411.1640625,1
131,1411.1640625,1
132,1411.1640625,1
133,1411.1640625,1
134,1411.1640625,1
135,1411.1640625,1
136,1411.1640625,1
137,1411.1640625,1
138,1411.1640625,1
139,1411.1640625,1
140,1411.1640625,1
141,1411.1640625,1
142,1411.1640625,1
143,1411.1640625,1
144,1411.1640625,1
145,1411.1640625,1
146,1411.1640625,1
147,1411.1640625,1
148,1411.1640625,1
149,1411.1640625,1
150,1411.1640625,1
151,1411.1640625,1
152,1411.1640625,1
153,1411.1640625,1
154,1411.1640625,1
155,1411.1640625,1
156,1411.1640625,1
157,1411.1640625,1
158,1411.1640625,1
159,1411.1640625,1
160,1411.1640625,1
161,1411.1640625,1
162,1411.1640625,1
163,1411.1640625,1
164,1411.1640625,1
165,1411.1640625,1
166,1411.1640625,1
167,1411.1640625,1
168,1411.1640625,1
169,1411.1640625,1
170,1411.1640625,1
171,1411.1640625,1
172,1411.1640625,1
173,1411.1640625,1
174,1411.1640625,1
175,1411.1640625,1
176,1411.1640625,1
177,1411.1640625,1
178,1411.1640625,1
179,1411.1640625,1
180,1411.1640625,1
181,1411.1640625,1
182,1411.1640625,1
183,1411.1640625,1
184,1411.1640625,1
185,1411.1640625,1
186,1411.1640625,1
187,1411.1640625,1
188,1411.1640625,1
189,1411.1640625,1
190,1411.1640625,1
191,1411.1640625,1
192,1411.1640625,1
193,1411.1640625,1
194,1411.1640625,1
195,1411.1640625,1
196,1411.1640625,1
197,1411.1640625,1
198,1411.1640625,1
199,1411.1640625,1
200,1411.1640625,1
201,1411.1640625,1
202,1411.1640625,1
203,1411.1640625,1
204,1411.1640625,1
205,1411.1640625,1
206,1411.1640625,1
207,1411.1640625,1
208,1411.1640625,1
209,1411.1640625,1
210,1411.1640625,1
211,1411.1640625,1
212,1411.1640625,1
213,1411.1640625,1
214,1411.1640625,1
215,1411.1640625,1
216,1411.1640625,1
217,1411.1640625,1
218,1411.1640625,1
219,1411.1640625,1
220,1411.1640625,1
221,1411.1640625,1
222,1411.1640625,1
223,1411.1640625,1
224,1411.1640625,1
225,1411.1640625,1
226,1411.1640625,1
227,1411.1640625,1
228,1411.1640625,1
229,1411.1640625,1
230,1411.1640625,1
231,1411.1640625,1
232,1411.1640625,1
233,1411.1640625,1
234,1411.1640625,1
235,1411.1640625,1
236,1411.1640625,1
237,1411.1640625,1
238,1411.1640625,1
239,1411.1640625,1
240,1411.1640625,1
241,1411.1640625,1
242,1411.1640625,1
243,1411.1640625,1
244,1411.1640625,1
245,1411.1640625,1
246,1411.1640625,1
247,1411.1640625,1
248,1411.1640625,1
249,1411.1640625,1
250,1411.1640625,1
251,1411.1640625,1
252,1411.1640625,1
253,1411.1640625,1
254,1411.1640625,1
255,1411.1640625,1
