batch_idx,memory_cpu_mb,memory_gpu_mb,batch_size,sample_output
0,1700.734375,168.12939453125,16,' I'
1,1724.484375,168.12939453125,16,''
2,2252.55078125,168.12939453125,16,''
3,2252.67578125,168.12939453125,16,' I'
4,2252.67578125,168.12939453125,16,''
5,2252.67578125,168.12939453125,16,'真'
6,2252.67578125,168.12939453125,16,""" I'm not."""
7,2252.67578125,168.12939453125,16,'真真真真真真真真真真真真真真真真真真真真真真真真真'
8,2252.67578125,168.12939453125,16,''
9,2252.67578125,168.12939453125,16,'誓'
10,2252.67578125,168.12939453125,16,'哎呀'
11,2252.67578125,168.12939453125,16,' I'
12,2252.67578125,168.12939453125,16,''
13,2252.67578125,168.12939453125,16,' I'
14,2252.67578125,168.12939453125,16,''
15,2252.67578125,168.12939453125,16,""" I'm not."""
