kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls
ProfilerStep*,1953665.0990000002,340631.94900000177,1402393.2150000061,0.0,2
aten::empty,41151.60799999355,40166.41899999355,0,0,6771
aten::random_,20.8779999999997,20.8779999999997,0,0,1
aten::item,521772.24600000016,977.3159999987674,398.6819999992731,0.0,435
aten::_local_scalar_dense,520746.4810000013,2348.87299999883,398.6819999992731,398.6819999992731,435
enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__,65759.33500000004,46184.623000000036,3.1039999999920838,0.0,2
cudaPointerGetAttributes,52.05499999981839,52.05499999981839,7794.031999999977,7794.031999999977,6
cudaHostAlloc,47457.88900000001,47424.51100000001,298.8390000000072,298.8390000000072,5
aten::to,255972.9139999992,614.2799999985291,10477.805000000764,0.0,504
aten::_to_copy,255358.63400000066,1240.3080000015616,10477.805000000764,0.0,204
aten::empty_strided,2038.5649999996094,2038.5649999996094,0,0,374
aten::copy_,267154.10699999717,7272.278999996794,61739.55200000112,53945.77600000113,876
cudaMemcpyAsync,10405.762000002593,10405.762000002593,0,0,922
ProfilerStep*,0,0,1833534.7610000002,1833534.7610000002,2
Memcpy HtoD (Pinned -> Device),0,0,2557.949000000124,2557.949000000124,2
cudaStreamSynchronize,766686.6380000015,766677.7600000015,7790.927999999985,0.0,502
aten::slice,4389.849999998347,3631.5969999977533,0,0,704
aten::as_strided,8303.78000000093,8303.78000000093,0,0,7438
aten::ones,11713.441999999923,212.88500000051863,18.112000000372063,0.0,10
aten::fill_,15569.5079999999,2876.2470000004832,386.03700000140816,386.03700000140816,288
cudaLaunchKernel,389706.76399998827,94212.61599998812,8261.896000000677,0.0,8852
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0,39.712000000465196,39.712000000465196,26
aten::mul,3251.828999999445,1729.0519999995158,230.20199999901524,226.81099999895378,140
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul>)",0,0,4.991999999867403,4.991999999867403,2
aten::conv1d,14629.864000000278,52.29600000046776,42313.27000000021,0.0,8
aten::convolution,14577.56799999981,101.02299999989918,42313.27000000021,0.0,8
aten::_convolution,14476.544999999911,247.62100000036298,42313.27000000021,0.0,8
aten::unsqueeze,1214.1560000018653,881.6670000024897,0,0,222
aten::cudnn_convolution,13727.66400000015,-1601.3940000005532,38466.36400000016,30675.436000000176,8
cudaEventRecord,55.17300000016985,55.17300000016985,0,0,8
cudaStreamIsCapturing,707.3509999999078,707.3509999999078,0,0,449
cudaStreamGetPriority,8.33000000017637,8.33000000017637,0,0,8
cudaDeviceGetStreamPriorityRange,8.318999999886728,8.318999999886728,0,0,8
cudaPeekAtLastError,286.98099999674014,286.98099999674014,0,0,2096
"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",0,0,24.70200000004843,24.70200000004843,8
cudaMemsetAsync,7184.169999999314,7184.169999999314,0,0,1216
_5x_cudnn_volta_scudnn_128x64_relu_medium_nn_v1,0,0,9280.360000000117,9280.360000000117,4
aten::reshape,10102.073000002056,5114.512999997445,0,0,2522
aten::view,12125.696000012584,12125.696000012584,0,0,6656
aten::add_,706.9360000000452,577.1069999998435,3846.9060000000463,3846.9060000000463,72
aten::squeeze,51.25600000008126,40.627000000327826,0,0,8
aten::gelu,6893.476999999417,4046.65600000041,23343.653000000675,23343.653000000675,232
cudaMalloc,9661.62800000004,9661.62800000004,0,0,9
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,30719.528000000166,30719.528000000166,44
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,23343.653000000675,23343.653000000675,232
Unrecognized,296210.4780000002,296210.4780000002,19187.43000000075,19187.43000000075,27
_5x_cudnn_volta_scudnn_128x128_relu_small_nn_v1,0,0,21370.37400000001,21370.37400000001,4
aten::permute,61.512999999918975,54.43299999990268,0,0,4
aten::add,22002.22400000099,14328.713000000382,28356.458000000537,28356.458000000537,876
aten::dropout,894.4759999968956,894.4759999968956,0,0,936
aten::layer_norm,45746.02700000173,3652.7979999990494,43270.39299999966,0.0,712
aten::native_layer_norm,42093.229000002684,17004.430000007225,43270.39299999966,20556.441999999835,712
aten::contiguous,7426.449999999706,334.88900000088324,49392.92399999933,0.0,148
aten::clone,11934.137999998638,1689.6079999983922,50597.95399999959,0.0,264
aten::empty_like,4279.001999999906,1160.6690000006347,0,0,304
aten::linear,427872.3259999955,19090.12199998733,491664.2059999979,0.0,1844
aten::t,14839.481000003187,6449.179000002696,0,0,1908
aten::transpose,21989.640000001193,16296.201000001005,0,0,4980
aten::addmm,116017.21700000235,57016.81199999954,401040.0069999972,390429.2169999968,1552
cudaOccupancyMaxActiveBlocksPerMultiprocessor,906.8309999995981,473.7539999995497,10908.735000000073,0.0,144
aten::matmul,269039.0580000003,3265.591999997516,90624.19900000066,0.0,292
aten::mm,264136.7120000002,9937.145999998203,90624.19900000066,90009.39600000047,292
aten::_unsafe_view,669.5010000019975,669.5010000019975,0,0,292
aten::scaled_dot_product_attention,37837.12299999868,5734.979000000196,708647.0050000027,0.0,432
aten::_scaled_dot_product_efficient_attention,32102.143999998487,5627.837999998679,708647.0050000027,0.0,432
aten::_efficient_attention_forward,19897.350999998424,8339.95100000492,708647.0050000027,708647.0050000027,432
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,0,49453.306999999244,49453.306999999244,150
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,20559.993999999744,20559.993999999744,712
volta_sgemm_128x64_tn,0,0,309368.5210000011,309368.5210000011,130
"fmha_cutlassF_f32_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",0,0,708647.0050000027,708647.0050000027,432
aten::embedding,3691.4989999996906,568.5229999988806,544.8120000011404,0.0,52
aten::index_select,2808.3909999997704,1185.403000001039,544.8120000011404,539.8840000011842,52
aten::resize_,1355.7919999999285,1355.7919999999285,0,0,420
aten::arange,8889.262000000279,2135.485999998724,735.4659999982687,367.73299999913434,304
aten::repeat,3702.718999999779,952.1909999998752,105.15399999974761,0.0,52
aten::expand,454.45400000040536,335.12200000023586,0,0,108
aten::alias,77.71899999931338,77.71899999931338,0,0,52
aten::unfold,382.96999999973923,282.6649999997171,0,0,104
aten::expand_as,272.1689999997907,88.62299999967217,0,0,52
aten::index,6622.911000002467,4403.306000003184,877.6769999995013,877.6769999995013,184
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,538.26000000161,255.00700000161305,16.79899999999907,0.0,154
volta_sgemm_128x128_tn,0,0,119524.10699999987,119524.10699999987,16
"void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)",0,0,529.7410000011441,529.7410000011441,50
"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",0,0,367.73299999913434,367.73299999913434,152
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1})",0,0,102.30599999974947,102.30599999974947,52
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1})",0,0,352.4430000006105,352.4430000006105,52
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",0,0,1287.775999999547,1287.775999999547,676
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",0,0,11485.162000001874,11485.162000001874,1000
volta_sgemm_64x32_sliced1x4_tn,0,0,7064.026000002574,7064.026000002574,400
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",0,0,519.464999999851,519.464999999851,200
Memset (Device),0,0,1731.8009999960777,1731.8009999960777,1208
"void scal_kernel<float, float, 1, true, 6, 5, 5, 3>(cublasTransposeParams<float>, float const*, float*, float const*)",0,0,316.07999999949243,316.07999999949243,200
"void sgemm_largek_lds64<true, false, 6, 3, 4, 5, 2, 66>(float*, float const*, float const*, int, int, int, int, int, int, float const*, float const*, float, float, int, int, int*, int*)",0,0,6200.344999997935,6200.344999997935,200
"void cublasLt::epilogue::impl::globalKernel<8, 32, float, float, float, true, true, 1>(int, int, long, float*, cublasLtEpilogue_t, int, float*, long, void*, long, long, long, float*, long, int*)",0,0,425.0119999986491,425.0119999986491,200
aten::select,4684.619999999937,3960.3670000003185,0,0,800
aten::ones_like,162.8000000002794,17.026000000245403,8.927999999839813,0.0,4
aten::lift_fresh,8.237000000255648,8.237000000255648,0,0,22
volta_sgemm_128x32_sliced1x4_tn,0,0,24066.91099999938,24066.91099999938,50
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<bool>, std::array<char*, 1ul> >(int, at::native::FillFunctor<bool>, std::array<char*, 1ul>)",0,0,274.68100000038976,274.68100000038976,204
Memcpy HtoD (Pageable -> Device),0,0,35.77600000012899,35.77600000012899,70
aten::index_put_,759.9699999998556,23.353999999933876,88.6380000000936,0.0,4
aten::_index_put_impl_,736.6159999999218,90.26199999998789,88.6380000000936,10.208000000042375,4
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<1> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&)::{lambda(int)#1})",0,0,10.208000000042375,10.208000000042375,2
aten::masked_fill_,438.7030000000377,108.33500000007916,77.21400000003632,52.70300000003772,2
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1})",0,0,52.70300000003772,52.70300000003772,2
aten::argmax,1617.5480000007083,1107.5290000002715,1355.3570000000764,1355.3570000000764,52
