kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls
ProfilerStep*,2059218.027,431690.9560000269,1585906.9900000002,0.0,2
aten::empty,40620.462000003114,37744.00700000292,0,0,6771
aten::random_,24.79200000000037,24.79200000000037,0,0,1
aten::item,453396.6100000021,745.1130000026287,487.535999999207,0.0,435
aten::_local_scalar_dense,452651.49699999945,2101.1689999954524,487.535999999207,487.535999999207,435
enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__,61187.23799999997,41902.657999999974,3.551999999996042,0.0,2
cudaPointerGetAttributes,44.288999999793305,44.288999999793305,38384.965,38384.965,6
cudaHostAlloc,47046.03099999999,37285.763999999996,6.880000000004657,0.0,5
aten::to,261660.86800000205,2499.318000002633,245586.49199999947,0.0,5224
aten::_to_copy,259161.5499999994,3239.1889999997948,245586.49199999947,0.0,418
aten::empty_strided,4459.781999998275,4459.781999998275,0,0,588
aten::copy_,284393.9629999993,14717.658999990497,295969.75599999924,295894.0459999993,1090
cudaMemcpyAsync,14894.504000005632,14894.504000005632,0,0,1136
ProfilerStep*,0,0,3577257.135,3577257.135,4
Memcpy HtoD (Pinned -> Device),0,0,2508.160000000091,2508.160000000091,2
cudaStreamSynchronize,686615.4620000015,686607.9660000014,0,0,502
aten::slice,4834.110999997996,3953.120000001916,0,0,704
aten::as_strided,8729.362999984034,8729.362999984034,0,0,7438
aten::ones,10731.053000000058,276.7400000003254,23.200000000040745,0.0,10
aten::fill_,14472.234999999186,2760.1779999998835,709.0010000022885,709.0010000022885,288
cudaLaunchKernel,440360.02999999304,90577.45999999328,8360.362999999576,0.0,8852
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0,66.6230000005744,66.6230000005744,26
aten::mul,3306.409999998941,1649.7380000007397,398.2000000004482,394.2320000004547,140
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul>)",0,0,6.655999999988126,6.655999999988126,2
aten::conv1d,34332.211999999796,60.383999999728985,98278.00899999953,0.0,8
aten::convolution,34271.82800000007,98.26400000015565,98278.00899999953,0.0,8
aten::_convolution,34173.56399999991,281.9350000002596,98278.00899999953,0.0,8
aten::unsqueeze,1123.7999999992317,818.5469999978086,0,0,222
aten::cudnn_convolution,33399.71800000015,5377.434999999707,94075.26799999952,44555.86399999951,8
cudaStreamIsCapturing,541.6539999979432,541.6539999979432,0,0,453
cudaMalloc,4399.525000000227,4399.525000000227,0,0,13
cudaEventRecord,718.716000001572,718.716000001572,0,0,436
cudaStreamGetPriority,9.480000000286964,9.480000000286964,0,0,8
cudaDeviceGetStreamPriorityRange,7.339000000443775,7.339000000443775,0,0,8
cudaDeviceGetAttribute,200.30499999932363,200.30499999932363,0,0,325
cudaGetDriverEntryPoint,2.643000000010943,2.643000000010943,0,0,2
cudaGetSymbolAddress,26997.27399999999,11616.907000000021,41732.27299999999,0.0,1
Unrecognized,350753.15799999965,350753.15799999965,22639.84299999947,22639.84299999947,34
cudaPeekAtLastError,307.3520000008284,307.3520000008284,0,0,2096
"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",0,0,32.92599999974482,32.92599999974482,8
cudaMemsetAsync,8999.065999999759,8999.065999999759,0,0,1216
