kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls
ProfilerStep*,1505143.616,131255.36999999546,0,0,2
aten::empty,5034.423000006353,5034.423000006353,0,0,2762
aten::random_,31.97700000000077,31.97700000000077,0,0,1
aten::item,216.1230000008636,134.49000000046817,0,0,78
aten::_local_scalar_dense,81.63300000039544,81.63300000039544,0,0,78
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,9678.898999999921,3122.6839999998565,0,0,2
aten::select,2898.138000001817,2735.2960000013763,0,0,235
aten::as_strided,4838.512000006202,4838.512000006202,0,0,5342
aten::stack,5122.39999999994,1632.832999999806,0,0,4
aten::cat,10858.243000002825,8687.146000004806,0,0,262
aten::narrow,2171.096999998019,1813.163999996943,0,0,112
aten::slice,1959.0630000027904,1651.1810000036112,0,0,378
aten::view,8260.274000002624,8260.274000002624,0,0,3823
aten::to,681.4530000002214,241.33700000012504,0,0,325
aten::ones,255.1150000001253,208.167000000416,0,0,10
aten::fill_,717.8329999982234,717.8329999982234,0,0,152
aten::mul,449.15900000033434,413.4860000003828,0,0,64
aten::conv1d,39614.678000000175,61.886000000336935,0,0,8
aten::convolution,39552.79199999984,99.72399999968547,0,0,8
aten::_convolution,39453.06800000015,181.83800000041447,0,0,8
aten::unsqueeze,406.78799999992407,347.3359999997847,0,0,74
aten::mkldnn_convolution,39139.575999999826,38907.83099999982,0,0,8
aten::as_strided_,85.62899999988804,85.62899999988804,0,0,12
aten::resize_,414.1339999996635,414.1339999996635,0,0,226
aten::squeeze,65.83799999978874,44.297999999820604,0,0,8
aten::gelu,62448.82999999964,62448.82999999964,0,0,140
aten::permute,54.518999999996595,40.99699999992299,0,0,4
aten::add,21836.883999998103,21836.883999998103,0,0,471
aten::dropout,517.8980000005686,517.8980000005686,0,0,545
aten::layer_norm,42057.22300000046,1791.548000001323,0,0,413
aten::native_layer_norm,40265.67499999913,17289.738999996724,0,0,413
aten::contiguous,38935.993999999715,462.1659999993499,0,0,148
aten::clone,45990.61000000105,1743.3300000006602,0,0,236
aten::empty_like,4758.137999997663,2283.345999995545,0,0,513
aten::copy_,100070.56499999827,100070.56499999827,0,0,1464
aten::linear,671842.0689999999,11343.168999992387,0,0,1085
aten::reshape,12565.101000000672,3408.8149999991147,0,0,1449
aten::t,8269.212000002746,3907.9080000031754,0,0,1085
aten::transpose,13610.666000012436,10227.716000007062,0,0,3365
aten::addmm,446666.7850000028,391681.62700000743,0,0,908
aten::expand,3331.8279999982697,2697.059999997691,0,0,968
aten::resolve_conj,472.4450000040524,472.4450000040524,0,0,2176
aten::matmul,198528.98699999967,2472.1020000005083,0,0,177
aten::mm,194851.47399999882,194790.15299999632,0,0,177
aten::_unsafe_view,746.2679999990651,746.2679999990651,0,0,209
aten::scaled_dot_product_attention,368224.47200000007,2685.431999999375,0,0,248
aten::_scaled_dot_product_flash_attention_for_cpu,365539.0400000007,357654.18399999215,0,0,248
aten::empty_strided,1439.8440000025003,1439.8440000025003,0,0,373
aten::embedding,1008.4770000004501,292.58900000178255,0,0,29
aten::index_select,636.1519999989541,381.93199999877834,0,0,29
aten::arange,12211.49500000209,6118.167999999307,0,0,274
aten::repeat,1046.434000000183,480.3980000007432,0,0,29
aten::alias,46.0630000004021,46.0630000004021,0,0,29
aten::unfold,198.1459999998042,151.74799999862444,0,0,58
aten::expand_as,109.81999999959953,42.39999999917927,0,0,29
aten::index,4714.766999998479,4394.538999998214,0,0,85
aten::ones_like,137.44700000004377,20.76600000000326,0,0,4
aten::lift_fresh,4.478999999933876,4.478999999933876,0,0,22
aten::index_put_,210.24499999999534,18.269000000029337,0,0,4
aten::_index_put_impl_,191.975999999966,74.84000000008382,0,0,4
aten::masked_fill_,99.34899999992922,99.34899999992922,0,0,2
aten::argmax,3211.177000000316,3181.3450000007288,0,0,29
aten::resolve_neg,1.9169999998994172,1.9169999998994172,0,0,6
aten::detach_,32.839999999967404,22.225000000034925,0,0,12
detach_,10.61499999993248,10.61499999993248,0,0,12
aten::zeros,13.29999999993015,10.535999999963678,0,0,2
aten::zero_,1.01400000002468,1.01400000002468,0,0,2
aten::lt,42.30400000006193,42.30400000006193,0,0,6
aten::any,109.36900000000605,65.3829999997397,0,0,8
aten::view_as,20.213000000221655,13.511000000347849,0,0,8
aten::is_nonzero,330.1359999991837,143.1889999981504,0,0,69
aten::ge,202.59099999966566,202.59099999966566,0,0,31
aten::_to_copy,440.1160000000964,236.1379999986966,0,0,38
aten::div,54.21299999975599,28.33699999988312,0,0,4
aten::sub,164.69900000013877,164.69900000013877,0,0,31
aten::clamp,22.471000000077765,21.630000000121072,0,0,2
aten::isin,100883.85100000026,10643.448000001954,0,0,83
aten::result_type,57.556999999680556,57.556999999680556,0,0,56
aten::cumsum,33.8739999999525,31.874999999883585,0,0,2
aten::where,2974.390000000247,1508.6450000003679,0,0,60
aten::scalar_tensor,117.09600000001956,117.09600000001956,0,0,29
aten::_unique,41258.54799999937,5968.784999997355,0,0,54
aten::flatten,43.94600000057835,36.94600000057835,0,0,56
aten::sort,71079.89099999948,61855.97399999923,0,0,81
aten::eq,1379.9020000002347,1379.9020000002347,0,0,59
aten::index_copy_,2095.47399999958,2058.567999999621,0,0,27
aten::rsub,298.40000000048894,174.2460000003921,0,0,27
aten::full,311.7790000005625,206.02900000056252,0,0,54
aten::__or__,368.2129999991739,105.05599999940023,0,0,54
aten::bitwise_or,263.1569999997737,263.1569999997737,0,0,54
aten::bitwise_not,147.2769999994198,147.2769999994198,0,0,27
aten::__and__,716.9459999999963,68.76499999978114,0,0,29
aten::bitwise_and,648.1810000002151,214.45200000039767,0,0,29
aten::max,203.125,168.01399999903515,0,0,27
aten::unbind,50.95799999986775,27.423999999882653,0,0,6
aten::sum,718.7780000000494,703.0219999999972,0,0,1
aten::sub_,9.972000000067055,9.972000000067055,0,0,1
aten::ne,7.386999999987893,7.386999999987893,0,0,1
aten::nonzero_numpy,50.20799999986775,7.2049999999580905,0,0,2
aten::nonzero,44.35499999998137,30.419000000343658,0,0,4
aten::add_,33.991000000038184,33.991000000038184,0,0,4
aten::pad,33.92800000007264,8.709000000031665,0,0,2
aten::constant_pad_nd,25.219000000040978,8.82100000011269,0,0,2
aten::detach,15.392000000108965,6.561000000103377,0,0,2
detach,8.831000000005588,8.831000000005588,0,0,2
