kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls,batch_size
ProfilerStep*,16847340.540999997,348886.58800004236,0,0,1,32
aten::empty,9428.028000002761,9428.028000002761,0,0,2414,32
aten::random_,28.71600000000035,28.71600000000035,0,0,1,32
aten::item,530.8030000077342,374.53300001636944,0,0,280,32
aten::_local_scalar_dense,156.26999999136478,156.26999999136478,0,0,280,32
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,15469.641,2803.283000000003,0,0,1,32
aten::select,5457.701999992934,4914.8069999974705,0,0,756,32
aten::as_strided,7109.447999996046,7109.447999996046,0,0,5797,32
aten::stack,11161.781999999776,1722.2409999987885,0,0,2,32
aten::cat,46123.860000015455,40063.46800004103,0,0,277,32
aten::narrow,6147.366999975911,3520.0689999825263,0,0,502,32
aten::slice,5561.3930000043765,4438.6529999961895,0,0,926,32
aten::view,11051.769999976837,11051.769999976837,0,0,3340,32
aten::to,1912.3529999974198,480.661999981945,0,0,446,32
aten::ones,252.36599999845203,182.2119999984643,0,0,5,32
aten::fill_,741.8480000109594,741.8480000109594,0,0,167,32
aten::mul,1479.2589999994343,859.0519999971693,0,0,86,32
aten::conv1d,652878.1830000002,41.90500000005704,0,0,4,32
aten::convolution,652836.2780000002,60.97399999987101,0,0,4,32
aten::_convolution,652775.3040000002,154.62600000009115,0,0,4,32
aten::unsqueeze,424.70699999108547,362.00799998882576,0,0,60,32
aten::mkldnn_convolution,652504.8250000004,652258.9969999994,0,0,4,32
aten::as_strided_,127.84900000371272,127.84900000371272,0,0,68,32
aten::resize_,543.6680000043998,543.6680000043998,0,0,205,32
aten::squeeze,65.25199999994948,45.64799999981187,0,0,4,32
aten::gelu,510726.5579999887,510726.5579999887,0,0,116,32
aten::permute,48.84100000030594,34.59700000047451,0,0,2,32
aten::add,389867.9089999891,389867.9089999891,0,0,470,32
aten::dropout,760.3790000117151,760.3790000117151,0,0,468,32
aten::layer_norm,730403.3080000042,2096.059999987716,0,0,356,32
aten::native_layer_norm,728307.2480000164,286647.02800003934,0,0,356,32
aten::contiguous,931158.8340000021,378.2210000035702,0,0,74,32
aten::clone,1063792.5100000054,2300.170999994676,0,0,156,32
aten::empty_like,7997.903000013204,2429.8380000094185,0,0,384,32
aten::copy_,1693195.5770000005,1693195.5770000005,0,0,1372,32
aten::linear,7278159.689999979,16011.603999992134,0,0,922,32
aten::reshape,102488.69199995493,3368.2599999587983,0,0,1273,32
aten::t,9821.154000006616,4788.535999999498,0,0,922,32
aten::transpose,16806.307000021683,12653.947000037064,0,0,2890,32
aten::addmm,5736243.007999982,5100765.173999936,0,0,776,32
