kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls
ProfilerStep*,2018822.3179999997,449221.2400000108,1279252.2669999986,0.0,2
aten::empty,39617.69599998729,39086.52799998732,0,0,6775
aten::random_,21.22900000000027,21.22900000000027,0,0,1
aten::item,470462.53900000034,744.2630000002564,385.6489999987534,0.0,439
aten::_local_scalar_dense,469718.27600000007,2090.007999998319,385.6489999987534,385.6489999987534,439
enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__,117846.85899999987,105713.09199999989,0,0,3
cudaPointerGetAttributes,55.84300000000803,53.504999999990105,0,0,7
cudaHostAlloc,56065.98500000003,56061.81400000003,0,0,5
aten::to,231321.42800000194,633.4720000031375,2663.942000001174,0.0,566
aten::_to_copy,230687.9559999988,1689.1469999996334,2663.942000001174,0.0,238
aten::empty_strided,2285.9559999987396,2257.049999998737,0,0,406
cudaEventQuery,48.1430000000837,48.1430000000837,0,0,5
aten::copy_,241691.50500000062,7963.9890000045125,51722.13700000374,51717.88100000363,910
cudaMemcpyAsync,10879.381999998004,10879.381999998004,0,0,958
ProfilerStep*,0,0,1881307.442,1881307.442,2
Memcpy HtoD (Pinned -> Device),0,0,2496.3589999999676,2496.3589999999676,2
cudaStreamSynchronize,689019.7249999999,689010.8369999998,0,0,538
aten::slice,4238.437999999267,3510.3539999995264,0,0,710
aten::as_strided,7525.587999994925,7525.587999994925,0,0,7478
aten::ones,540.7899999997462,75.15099999963422,16.927999999839813,0.0,10
aten::fill_,4262.355000002106,2065.399000002566,374.4209999977029,374.4209999977029,290
cudaLaunchKernel,385825.6550000036,95140.06200000367,6940.445000000356,0.0,8862
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0,39.90499999956228,39.90499999956228,28
aten::mul,3199.2609999990964,1665.1510000000417,223.19500000050175,220.21900000047754,140
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul>)",0,0,4.640000000101281,4.640000000101281,2
aten::conv1d,14207.736999999994,57.57300000000396,37488.7039999995,0.0,8
aten::convolution,14150.16399999999,145.86399999982677,37488.7039999995,0.0,8
aten::_convolution,14004.300000000163,262.2770000002929,37488.7039999995,0.0,8
aten::unsqueeze,1085.7999999995518,798.5529999981809,0,0,222
aten::cudnn_convolution,13199.034999999858,2951.6580000004906,33752.14999999938,27279.946999999345,8
cudaEventRecord,86.59399999995367,86.59399999995367,0,0,18
cudaStreamIsCapturing,685.9750000018685,685.9750000018685,0,0,450
cudaStreamGetPriority,8.238999999855878,8.238999999855878,0,0,8
cudaDeviceGetStreamPriorityRange,7.920999999711057,7.920999999711057,0,0,8
cudaPeekAtLastError,302.9769999946293,302.9769999946293,0,0,2092
"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",0,0,23.102999999624444,23.102999999624444,8
cudaMemsetAsync,6486.035000003583,6486.035000003583,0,0,1216
_5x_cudnn_volta_scudnn_128x64_relu_medium_nn_v1,0,0,8259.16999999975,8259.16999999975,4
aten::reshape,10117.057000002533,5269.6830000018235,0,0,2522
aten::view,11886.325000007811,11886.325000007811,0,0,6658
aten::add_,717.7210000010091,590.2790000007662,3736.55400000012,3736.55400000012,72
aten::squeeze,54.054000000003725,42.49200000017299,0,0,8
aten::gelu,6607.732999999251,4030.0109999997658,23382.5230000015,23382.5230000015,232
cudaMalloc,2115.8090000000375,2115.8090000000375,0,0,8
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,29363.38800000018,29363.38800000018,44
Unrecognized,291618.83999999973,291618.83999999973,16144.61700000029,16144.61700000029,31
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,23382.5230000015,23382.5230000015,232
aten::permute,36.73199999998906,30.851000000024214,0,0,4
aten::add,21362.83499999973,14225.328999998397,27057.150999999925,27057.150999999925,876
aten::dropout,783.6669999969017,783.6669999969017,0,0,936
_5x_cudnn_volta_scudnn_128x128_relu_small_nn_v1,0,0,18997.67399999997,18997.67399999997,4
aten::layer_norm,41515.26499999862,3488.696999998123,39620.015000000654,0.0,712
aten::native_layer_norm,38026.568000000494,16397.17500000514,39620.015000000654,18777.906000000978,712
aten::contiguous,7659.753000000026,330.1769999988028,47212.67300000001,0.0,148
aten::clone,11715.946000001568,1556.3660000025993,48412.034000000975,0.0,262
aten::empty_like,4139.222999999736,1255.0029999997641,0,0,304
aten::linear,381398.10999999964,17087.116999996244,455168.67199999833,0.0,1844
aten::t,13717.658999997337,5912.039999995468,0,0,1908
aten::transpose,21240.95499999923,16119.672000001126,0,0,4980
aten::addmm,111609.43600000208,56798.68300000523,370117.5089999966,361242.29199999664,1552
cudaOccupancyMaxActiveBlocksPerMultiprocessor,738.5340000006836,372.34600000086357,9188.68399999998,0.0,144
aten::matmul,230367.37299999924,3175.1619999984396,85051.16300000175,0.0,292
aten::mm,225368.7900000015,8926.200000001409,85051.16300000175,84453.579000002,292
aten::_unsafe_view,618.6199999990058,618.6199999990058,0,0,292
aten::scaled_dot_product_attention,60533.33699999974,5488.9639999992505,641103.8059999992,0.0,432
aten::_scaled_dot_product_efficient_attention,55044.37300000049,6000.371000000712,641103.8059999992,0.0,432
aten::_efficient_attention_forward,42714.59299999967,-14550.352999997383,641103.8059999992,641103.8059999992,432
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,0,47273.50400000013,47273.50400000013,150
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,18777.906000000978,18777.906000000978,712
volta_sgemm_128x64_tn,0,0,286514.26900000015,286514.26900000015,130
"fmha_cutlassF_f32_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",0,0,641103.8059999992,641103.8059999992,432
aten::embedding,3481.843999999779,576.0209999995423,512.081999999471,0.0,52
aten::index_select,2666.2880000005243,1083.6209999994026,512.081999999471,507.5379999994766,52
aten::resize_,1295.9940000001516,1295.9940000001516,0,0,420
aten::arange,8334.205000000278,2079.4570000015956,704.2879999977304,352.1439999988652,304
aten::repeat,3770.7850000000326,859.4280000014405,102.0130000001518,0.0,52
aten::expand,452.4269999989192,320.89499999882537,0,0,108
aten::alias,71.86799999960931,71.86799999960931,0,0,52
aten::unfold,489.50300000043353,415.71000000217464,0,0,104
aten::expand_as,275.1489999994519,89.81899999995949,0,0,52
aten::index,6448.78100000025,4293.745000000432,836.9780000002938,836.9780000002938,184
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,790.9189999986265,223.85999999861815,15.4879999999539,0.0,154
volta_sgemm_128x128_tn,0,0,109260.87500000038,109260.87500000038,16
"void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)",0,0,498.22599999955855,498.22599999955855,50
