kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls
ProfilerStep*,1848307.1700000002,479552.0540000041,832998.9529999882,0.0,2
aten::empty,39153.14500000488,38525.629000004876,0,0,6775
aten::random_,22.02300000000014,22.02300000000014,0,0,1
aten::item,496076.54399999883,820.3529999998918,372.8919999995851,0.0,439
aten::_local_scalar_dense,495256.19099999894,2179.3250000003663,372.8919999995851,372.8919999995851,439
enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__,89033.61500000003,81170.31600000005,629.1699999999837,0.0,3
cudaPointerGetAttributes,89.3870000000461,89.3870000000461,632.8169999999809,632.8169999999809,7
cudaHostAlloc,43199.19099999998,43197.41899999998,0,0,5
aten::to,248132.5150000083,9421.39600001472,56862.22099999925,0.0,5092
aten::_to_copy,238711.1189999936,30273.491999983395,56862.22099999925,0.0,4764
aten::empty_strided,37507.618000006085,37483.86600000609,0,0,4932
cudaEventQuery,42.07399999992049,42.07399999992049,0,0,5
aten::copy_,185953.5530000049,45760.10299999996,105835.05899999767,105831.53899999768,5436
cudaMemcpyAsync,10892.956999995891,10892.956999995891,0,0,958
ProfilerStep*,0,0,1726073.798,1726073.798,2
Memcpy HtoD (Pinned -> Device),0,0,2496.1330000000744,2496.1330000000744,2
cudaStreamSynchronize,586334.4500000014,586328.0650000013,0,0,538
aten::slice,4704.817999996754,3925.9269999991957,0,0,710
aten::as_strided,8702.269999998272,8702.269999998272,0,0,7478
aten::ones,636.2050000001909,223.89600000006612,19.326999999568216,0.0,10
aten::fill_,4489.676000000589,2157.664999997971,351.3729999995994,351.3729999995994,290
cudaLaunchKernel,109677.02800000769,92022.66600000772,8038.112000000052,0.0,11044
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0,42.045999999609194,42.045999999609194,28
aten::mul,3206.7129999991157,1764.2719999999827,207.8029999997525,204.6669999996957,140
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul>)",0,0,4.927999999985332,4.927999999985332,2
aten::conv1d,89624.9360000002,184.2199999998411,53872.883000001224,0.0,12
"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,52981.92799999885,52981.92799999885,4474
aten::convolution,45980.202000000136,71.77600000004168,42271.87300000046,0.0,8
aten::_convolution,45908.426000000094,307.1549999995914,42271.87300000046,0.0,8
aten::unsqueeze,1066.3740000000398,816.9910000019881,0,0,222
aten::cudnn_convolution,45080.6010000002,2668.848999999842,38699.83200000014,26593.810999999987,8
cudaEventRecord,86.93100000006962,86.93100000006962,0,0,18
cudaStreamIsCapturing,696.2009999999136,696.2009999999136,0,0,449
cudaStreamGetPriority,8.457999999984168,8.457999999984168,0,0,8
cudaDeviceGetStreamPriorityRange,7.052000000083353,7.052000000083353,0,0,8
cudaPeekAtLastError,284.56800000261865,284.56800000261865,0,0,2098
