kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls
ProfilerStep*,473882.35699999996,143887.65299999953,198550.39199999935,0.0,2
aten::empty,22865.566999998144,22861.14799999812,0,0,3949
aten::random_,25.585000000000036,25.585000000000036,0,0,1
aten::item,37690.284000000014,276.4319999998643,186.22900000025402,0.0,132
aten::_local_scalar_dense,37413.85200000015,840.1380000001154,186.22900000025402,186.22900000025402,132
enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__,41428.494999999995,39578.92599999999,3.583999999988009,0.0,2
cudaPointerGetAttributes,67.75999999999476,67.3179999999993,3.583999999988009,3.583999999988009,6
cudaHostAlloc,3056.4809999999998,3056.3329999999987,0,0,5
aten::to,28502.486999999936,185.63399999996182,201.7240000000602,0.0,221
aten::_to_copy,28316.852999999974,239.21100000001024,201.7240000000602,0.0,39
aten::empty_strided,1011.6840000002267,1011.6840000002267,0,0,126
aten::copy_,36971.96899999972,3890.9179999999324,5245.896999999488,5243.976999999504,475
cudaMemcpyAsync,5055.2109999998065,5055.2109999998065,0,0,437
ProfilerStep*,0,0,376410.934,376410.934,2
Memcpy HtoD (Pinned -> Device),0,0,171.6140000000014,171.6140000000014,2
aten::slice,1922.659000000218,1561.4980000004289,0,0,272
aten::as_strided,4311.363000000827,4311.363000000827,0,0,3807
aten::ones,632.5880000000179,195.68500000007043,22.52599999991071,0.0,10
aten::fill_,2558.8750000002765,1161.7810000002937,298.38300000011805,298.38300000011805,153
cudaLaunchKernel,39077.172000000995,38867.23000000103,5.28000000002794,0.0,4453
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0,27.29399999989255,27.29399999989255,10
aten::mul,1340.9550000002928,853.5640000000858,142.71799999973155,142.71799999973155,64
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul>)",0,0,6.271999999997206,6.271999999997206,2
aten::conv1d,3697.1150000000052,47.20900000007532,4478.166000000114,0.0,8
aten::convolution,3649.90599999993,121.10499999993772,4478.166000000114,0.0,8
aten::_convolution,3528.800999999992,241.8069999999716,4478.166000000114,0.0,8
aten::unsqueeze,642.5239999998594,494.76199999966775,0,0,130
aten::cudnn_convolution,2861.0289999999513,805.4889999999141,4209.179000000106,4209.179000000106,8
cudaEventRecord,1640.731000000058,535.9290000000619,0,0,9
cudaStreamIsCapturing,369.67800000018906,369.67800000018906,0,0,257
cudaStreamGetPriority,7.272999999986496,7.272999999986496,0,0,8
cudaDeviceGetStreamPriorityRange,6.578999999954249,6.578999999954249,0,0,8
"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",0,0,31.200000000055297,31.200000000055297,8
cudaPeekAtLastError,124.09800000002724,124.09800000002724,0,0,964
cudaMemsetAsync,3531.0109999992274,3531.0109999992274,0,0,630
_5x_cudnn_volta_scudnn_128x64_relu_medium_nn_v1,0,0,1032.3349999999919,1032.3349999999919,4
aten::reshape,5632.171000000191,2860.9580000003625,0,0,1457
aten::view,6774.133000000264,6774.133000000264,0,0,3890
aten::add_,268.56900000006135,177.6090000000404,268.98700000000827,268.98700000000827,12
aten::squeeze,43.18000000000757,33.682999999975436,0,0,8
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,2547.0619999999326,2547.0619999999326,44
aten::gelu,3448.6030000000464,2230.3349999998172,1696.2620000001189,1696.2620000001189,140
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,1696.2620000001189,1696.2620000001189,140
"void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, float const*, float*)",0,0,549.111000000019,549.111000000019,8
_5x_cudnn_volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_small_nhwc_tn_v1,0,0,2508.6300000000338,2508.6300000000338,4
aten::permute,29.461000000024796,23.93100000002596,0,0,4
aten::add,12341.402999999555,7852.1679999996995,3411.7489999995596,3411.7489999995596,471
aten::dropout,525.4830000000075,525.4830000000075,0,0,545
aten::layer_norm,24090.397999999506,1894.8930000001274,6213.390999999989,0.0,413
aten::native_layer_norm,22195.50499999938,9411.009999999325,6213.390999999989,4057.238000000012,413
aten::contiguous,6053.939000000115,290.00900000031106,4340.020999999615,0.0,148
aten::clone,8072.529999999926,1271.13499999966,4510.70699999934,0.0,204
aten::empty_like,2511.8649999997288,806.5409999996773,0,0,233
"void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, float const*, float*)",0,0,87.9030000000057,87.9030000000057,4
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,0,4340.020999999615,4340.020999999615,148
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,4057.238000000012,4057.238000000012,413
aten::linear,78945.74799999974,9947.566999999472,62398.068999999945,0.0,1085
aten::t,8404.128000000113,3838.6159999996016,0,0,1089
aten::transpose,12535.61299999975,9296.577999999397,0,0,2873
aten::addmm,46060.97499999932,30731.338999999207,45343.4510000001,45343.4510000001,908
cudaOccupancyMaxActiveBlocksPerMultiprocessor,151.38300000014715,151.38300000014715,0,0,96
Memset (Device),0,0,1269.8709999996208,1269.8709999996208,622
volta_sgemm_128x64_tn,0,0,44124.706000000035,44124.706000000035,128
aten::matmul,9338.134999999951,1706.763999999821,17054.617999999842,0.0,177
aten::mm,6712.502000000066,4814.175999999585,17054.617999999842,17054.617999999842,177
aten::_unsafe_view,362.4419999999227,362.4419999999227,0,0,177
aten::scaled_dot_product_attention,21620.140000000145,2975.7430000005115,101039.08899999998,0.0,248
aten::_scaled_dot_product_efficient_attention,18644.396999999633,3235.573000000193,101039.08899999998,0.0,248
aten::_efficient_attention_forward,11501.184000000067,4875.532000000458,101039.08899999998,101039.08899999998,248
"fmha_cutlassF_f32_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",0,0,101039.08899999998,101039.08899999998,248
aten::embedding,1880.4230000001407,369.0829999999696,128.82700000004843,0.0,29
aten::index_select,1413.1390000000101,657.1539999997476,128.82700000004843,128.82700000004843,29
aten::resize_,714.062000000471,714.062000000471,0,0,199
aten::arange,4750.457999999635,1140.4330000000482,552.6360000002314,276.3180000001157,166
aten::repeat,3946.532000000181,450.28700000008394,62.01599999985774,0.0,29
aten::expand,294.6940000002505,246.22200000037265,0,0,62
aten::alias,44.12599999997474,44.12599999997474,0,0,29
aten::unfold,252.088999999949,179.02499999970314,0,0,58
