kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls,batch_size
ProfilerStep*,1248163.335,288695.33900000167,673282.2240000045,0.0,2,8
aten::empty,40498.37700000389,40165.15300000388,0,0,6764,8
aten::random_,21.088000000000648,21.088000000000648,0,0,1,8
aten::item,195230.47599999915,673.933999999409,335.6750000002794,0.0,325,8
aten::_local_scalar_dense,194556.54199999975,1815.8479999987421,335.6750000002794,335.6750000002794,325,8
enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__,42076.20000000001,33395.21900000002,3.4879999999975553,0.0,2,8
cudaPointerGetAttributes,44.21599999996397,44.21599999996397,188.09199999998964,188.09199999998964,6,8
cudaHostAlloc,20969.76599999999,20967.488999999987,0,0,5,8
aten::to,236620.5900000002,426.51500000084343,1374.0519999988028,0.0,397,8
aten::_to_copy,236194.07499999934,878.9449999997742,1374.0519999988028,0.0,117,8
aten::empty_strided,1850.334999999628,1850.334999999628,0,0,278,8
aten::copy_,249976.1359999984,8631.48499999789,26996.388000002422,26992.964000002423,757,8
cudaMemcpyAsync,8724.841000000772,8724.841000000772,0,0,780,8
ProfilerStep*,0,0,1146957.5099999998,1146957.5099999998,2,8
Memcpy HtoD (Pinned -> Device),0,0,1298.5329999999958,1298.5329999999958,2,8
aten::slice,3849.365999996953,3153.950999996043,0,0,587,8
aten::as_strided,7677.249000001888,7677.249000001888,0,0,6994,8
aten::ones,742.2280000000464,209.42900000000373,17.124000000054366,0.0,10,8
aten::fill_,4407.544999999707,2106.311999999365,336.85600000048,336.85600000048,281,8
cudaLaunchKernel,130512.55200000017,75276.63800000017,4222.120999999839,0.0,8109,8
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0,29.79700000018056,29.79700000018056,19,8
aten::mul,2806.399000000034,1644.2870000005641,186.7559999989753,184.1309999989753,124,8
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul>)",0,0,4.863999999972293,4.863999999972293,2,8
aten::conv1d,19895.397999999914,79.50499999984459,23429.542999999714,0.0,8,8
aten::convolution,19815.89300000007,138.3840000002092,23429.542999999714,0.0,8,8
aten::_convolution,19677.50899999986,392.3419999997568,23429.542999999714,0.0,8,8
aten::unsqueeze,1363.3559999994031,1034.2759999994742,0,0,222,8
aten::cudnn_convolution,18656.906999999934,-647.6669999999576,21442.097999999853,17202.06199999986,8,8
cudaStreamIsCapturing,721.468999997538,721.468999997538,0,0,448,8
cudaMalloc,5385.299000000028,5385.299000000028,0,0,8,8
cudaEventRecord,82.74499999999534,82.74499999999534,0,0,9,8
cudaStreamGetPriority,9.826000000102795,9.826000000102795,0,0,8,8
cudaDeviceGetStreamPriorityRange,9.081000000063796,9.081000000063796,0,0,8,8
cudaPeekAtLastError,278.46499999510706,278.46499999510706,0,0,1912,8
"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",0,0,25.567999999955646,25.567999999955646,8,8
cudaMemsetAsync,5858.1759999981,5858.1759999981,0,0,1074,8
_5x_cudnn_volta_scudnn_128x64_relu_medium_nn_v1,0,0,5046.226999999984,5046.226999999984,4,8
aten::reshape,10640.07200000406,5855.489999998768,0,0,2506,8
aten::view,11687.492000005295,11687.492000005295,0,0,6624,8
aten::add_,595.2959999997838,449.40699999978824,1987.4449999998615,1987.4449999998615,40,8
