kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls,compile_applied
ProfilerStep*,1319990.432,363497.4340000034,460132.755999992,0.0,2,True
aten::empty,43390.79099999735,42948.86799999737,0,0,6773,True
aten::random_,22.717999999999847,22.717999999999847,0,0,1,True
aten::item,159346.37199999875,949.9989999975223,407.98799999943003,0.0,439,True
aten::_local_scalar_dense,158396.37300000124,2108.1170000010343,407.98799999943003,407.98799999943003,439,True
enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__,66978.57399999996,47385.00699999998,6.913000000000466,0.0,2,True
cudaPointerGetAttributes,64.81199999994715,61.85399999996298,3.5200000000040745,3.5200000000040745,6,True
cudaHostAlloc,42705.274000000005,42699.7,322.2320000000036,322.2320000000036,5,True
aten::to,162206.7769999933,4304.326999996076,28561.56499999958,0.0,1988,True
aten::_to_copy,157902.44999999722,13726.35699999801,28561.56499999958,0.0,1692,True
aten::empty_strided,15247.180999998425,15247.180999998425,0,0,1860,True
aten::copy_,144183.626000001,23159.702999999485,80949.66299999943,80946.14299999941,2364,True
cudaMemcpyAsync,10226.855000004973,10226.855000004973,0,0,926,True
ProfilerStep*,0,0,1196782.2489999998,1196782.2489999998,2,True
Memcpy HtoD (Pinned -> Device),0,0,2531.741000000038,2531.741000000038,2,True
aten::slice,4736.883000000977,3925.023000003115,0,0,710,True
aten::as_strided,8546.66800000101,8546.66800000101,0,0,7446,True
aten::ones,830.2650000001595,187.41500000015367,21.40699999993376,0.0,10,True
aten::fill_,4663.893999999811,2102.4039999990346,390.0740000000369,390.0740000000369,290,True
cudaLaunchKernel,133971.45799999006,77196.18599999006,269.27100000012433,0.0,8012,True
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0,46.81599999986065,46.81599999986065,28,True
aten::mul,10898.597999998383,1805.1679999996122,228.76099999959115,224.8569999996107,140,True
