kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls
ProfilerStep*,1326336.4370000002,353197.51500000164,479749.37500002683,0.0,2
aten::empty,38726.84299999674,38396.040999996745,0,0,6773
aten::random_,21.307999999999993,21.307999999999993,0,0,1
aten::item,143469.7470000009,921.244000002639,467.21999999994296,0.0,439
aten::_local_scalar_dense,142548.50299999828,2119.4499999937407,467.21999999994296,467.21999999994296,439
enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__,63263.22899999997,44499.85799999998,6.910999999992782,0.0,2
cudaPointerGetAttributes,46.43499999993219,42.86999999998807,3.551999999996042,3.551999999996042,6
cudaHostAlloc,41362.96100000001,41357.25600000004,322.1339999999909,322.1339999999909,5
aten::to,181943.90299999947,4284.880999999805,29232.64599999848,0.0,1988
aten::_to_copy,177659.02199999965,12682.709000001123,29232.64599999848,0.0,1692
aten::empty_strided,14446.571999999884,14446.571999999884,0,0,1860
aten::copy_,165349.57299999654,22654.886999990675,80592.90199999949,80586.66099999957,2364
cudaMemcpyAsync,10300.298000003982,10300.298000003982,0,0,926
ProfilerStep*,0,0,1206041.873,1206041.873,2
Memcpy HtoD (Pinned -> Device),0,0,2526.429999999993,2526.429999999993,2
aten::slice,4675.0400000005175,3841.714999998221,0,0,710
aten::as_strided,8428.877000002802,8428.877000002802,0,0,7446
aten::ones,861.899000000034,283.3410000002186,20.960000000108266,0.0,10
aten::fill_,4595.540000000372,2155.2490000018734,501.81400000074063,501.81400000074063,290
cudaLaunchKernel,153594.4810000007,76255.25300000062,284.440999999817,0.0,8012
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0,53.91999999960535,53.91999999960535,28
aten::mul,10590.8820000001,1788.7979999996605,286.0730000006006,282.55400000057125,140
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul>)",0,0,6.558999999935622,6.558999999935622,2
aten::conv1d,76624.34899999986,286.5149999999412,37420.79100000001,0.0,14
"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,25057.840000000215,25057.840000000215,1434
aten::convolution,37787.317999999985,76.41899999992165,20713.511000000144,0.0,8
aten::_convolution,37710.89900000006,335.0739999999205,20713.511000000144,0.0,8
aten::unsqueeze,1226.6909999994969,907.6500000015221,0,0,222
aten::cudnn_convolution,36846.56800000016,954.6569999996718,17237.183000000136,12593.623000000094,8
cudaEventRecord,65.6990000000078,65.6990000000078,0,0,9
cudaStreamIsCapturing,700.127000000808,700.127000000808,0,0,448
cudaStreamGetPriority,9.630000000135624,9.630000000135624,0,0,8
cudaDeviceGetStreamPriorityRange,7.500999999931082,7.500999999931082,0,0,8
cudaPeekAtLastError,294.0899999997637,294.0899999997637,0,0,2096
cudaMalloc,8380.255999999994,8380.255999999994,0,0,8
"void cudnn::engines_precompiled::nchwToNhwcKernel<__half, __half, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, __half const*, __half*)",0,0,2207.8810000000085,2207.8810000000085,16
cudaLaunchKernelExC,20947.523000000016,194.30499999999302,4324.785000000047,0.0,8
Unrecognized,98710.76900000012,90707.6280000001,5645.773999999845,5645.773999999845,27
sm75_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage1_warpsize4x1x1_g1_tensor16x8x8_execute_kernel__5x_cudnn,0,0,3126.7649999999558,3126.7649999999558,4
aten::reshape,10740.43700000248,5141.374000001088,0,0,2522
aten::view,13057.292000000307,13057.292000000307,0,0,6656
aten::add_,780.1540000000386,618.9200000000128,3476.3280000000086,3476.3280000000086,72
aten::squeeze,59.46300000004703,47.468000000168104,0,0,8
aten::gelu,6316.064999999275,3933.9169999999285,12327.933000000688,12327.933000000688,232
"void cudnn::engines_precompiled::nhwcToNchwKernel<__half, __half, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, __half const*, __half*)",0,0,2522.7810000000754,2522.7810000000754,8
