kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls,batch_size
ProfilerStep*,1806176.7810000002,463208.6919999933,855482.6180000054,0.0,2,32
aten::empty,40039.0909999906,39564.52199999058,0,0,6793,32
aten::random_,23.438000000000102,23.438000000000102,0,0,1,32
aten::item,311002.1650000019,1498.4500000030148,523.9010000002454,0.0,671,32
aten::_local_scalar_dense,309503.7149999989,2876.7390000013093,523.9010000002454,523.9010000002454,671,32
enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__,80225.068,56092.28599999999,0,0,2,32
cudaPointerGetAttributes,58.16900000011083,58.16900000011083,0,0,6,32
cudaHostAlloc,82090.56700000001,82080.36600000001,0,0,5,32
aten::to,199838.89100000024,4464.902000000089,52885.596999998335,0.0,2200,32
aten::_to_copy,195373.98900000015,13194.122000003961,52885.596999998335,0.0,1872,32
aten::empty_strided,14673.579999996262,14673.579999996262,0,0,2052,32
aten::copy_,183143.78200000097,23902.02199999281,156135.5289999998,156130.4399999999,2608,32
cudaMemcpyAsync,13366.883000006826,13366.883000006826,0,0,1222,32
ProfilerStep*,0,0,1680475.6889999998,1680475.6889999998,2,32
Memcpy HtoD (Pinned -> Device),0,0,5035.099000000133,5035.099000000133,2,32
aten::slice,6151.212999997733,5149.91499999573,0,0,962,32
aten::as_strided,8857.403000004197,8857.403000004197,0,0,8358,32
aten::ones,796.6180000001186,225.75699999953213,20.479999999894062,0.0,10,32
aten::fill_,4784.547999999704,2245.915999998251,405.58300000059535,405.58300000059535,310,32
cudaLaunchKernel,278180.3040000052,101122.53100000539,449.01899999997113,0.0,8644,32
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0,64.60899999961839,64.60899999961839,48,32
aten::mul,18791.484000000506,2086.960999999137,222.46000000205822,218.97200000204612,172,32
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul>)",0,0,5.600000000093132,5.600000000093132,2,32
aten::conv1d,65302.28899999989,294.8070000002481,69301.1119999994,0.0,14,32
"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,44968.21199999754,44968.21199999754,1434,32
aten::convolution,32082.63799999983,75.85600000005797,38589.09099999993,0.0,8,32
aten::_convolution,32006.781999999774,403.56300000002375,38589.09099999993,0.0,8,32
aten::unsqueeze,1179.0219999998226,878.1479999988514,0,0,222,32
aten::cudnn_convolution,31035.01899999971,11097.916999999812,32025.839000000065,23600.91200000004,8,32
cudaStreamIsCapturing,748.9260000000068,748.9260000000068,0,0,451,32
cudaMalloc,2854.3220000000147,2854.3220000000147,0,0,11,32
cudaEventRecord,86.73999999999069,86.73999999999069,0,0,9,32
cudaStreamGetPriority,8.468999999720836,8.468999999720836,0,0,8,32
cudaDeviceGetStreamPriorityRange,9.498999999894295,9.498999999894295,0,0,8,32
cudaPeekAtLastError,341.10999999716296,341.10999999716296,0,0,2452,32
"void cudnn::engines_precompiled::nchwToNhwcKernel<__half, __half, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, __half const*, __half*)",0,0,3993.1719999995257,3993.1719999995257,16,32
cudaLaunchKernelExC,18357.31300000017,-14380.59099999987,8424.927000000025,0.0,8,32
Unrecognized,195941.51999999973,195932.02599999972,11412.023000000074,11412.023000000074,27,32
sm75_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage1_warpsize4x1x1_g1_tensor16x8x8_execute_kernel__5x_cudnn,0,0,5817.1900000000605,5817.1900000000605,4,32
aten::reshape,10493.026000001817,4945.926000007719,0,0,2554,32
aten::view,13235.610000000655,13235.610000000655,0,0,6720,32
aten::add_,1133.4010000002454,1001.8920000001381,6563.251999999862,6563.251999999862,136,32
aten::squeeze,73.49000000001979,60.608000000123866,0,0,8,32
aten::gelu,6509.561000000453,4018.801000001142,24219.143000000215,24219.143000000215,232,32
"void cudnn::engines_precompiled::nhwcToNchwKernel<__half, __half, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, __half const*, __half*)",0,0,4984.798000000126,4984.798000000126,8,32
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1})",0,0,6563.251999999862,6563.251999999862,8,32
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul>)",0,0,24219.143000000215,24219.143000000215,232,32
aten::permute,47.36400000017602,40.89000000042142,0,0,4,32
aten::add,23425.885000002512,15229.11300000205,61000.31399999949,61000.31399999949,940,32
aten::dropout,850.965000001248,850.965000001248,0,0,936,32
sm75_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage1_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn,0,0,8805.752000000328,8805.752000000328,4,32
aten::layer_norm,45221.63199999917,5683.62299999877,96218.71100000033,0.0,712,32
aten::native_layer_norm,39538.0090000004,17166.39800000502,96218.71100000033,43228.24100000059,712,32
aten::contiguous,6208.067000000039,303.24600000024657,99456.54600000079,0.0,148,32
aten::clone,10809.029999999999,1519.9850000016158,102573.92900000076,0.0,274,32
aten::empty_like,3566.6139999986626,1296.2749999977532,0,0,304,32
aten::linear,642137.0450000081,30466.27600000106,409857.7900000006,0.0,3072,32
aten::t,15245.3449999968,6042.03899999737,0,0,1972,32
aten::transpose,23537.272999999346,17765.812999997986,0,0,5044,32
aten::addmm,247517.3340000044,63876.45400000579,150750.95400000154,150638.76300000132,1552,32
cudaOccupancyMaxActiveBlocksPerMultiprocessor,15005.493999998958,14832.04699999906,927.3350000000501,0.0,78,32
aten::matmul,27314.900999998208,3054.169999998907,48004.651000000624,0.0,292,32
aten::mm,22356.35599999936,19295.613000000187,48004.651000000624,45504.26900000061,292,32
aten::_unsafe_view,707.8930000001856,707.8930000001856,0,0,292,32
aten::scaled_dot_product_attention,42871.819000002666,6595.859000004508,305030.7210000015,0.0,432,32
aten::_scaled_dot_product_efficient_attention,36275.95999999816,5500.112000000838,305030.7210000015,0.0,432,32
aten::_efficient_attention_forward,23897.936999996542,10169.99299999568,305030.7210000015,304680.1380000015,432,32
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,57302.332999999344,57302.332999999344,36,32
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,0,53113.76299999945,53113.76299999945,38,32
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,43228.24100000059,43228.24100000059,712,32
turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn,0,0,97297.93800000002,97297.93800000002,80,32
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1})",0,0,46466.07600000105,46466.07600000105,112,32
turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,0,0,24988.93799999985,24988.93799999985,32,32
"fmha_cutlassF_f16_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",0,0,304680.1380000015,304680.1380000015,432,32
aten::embedding,4017.8179999991844,561.6689999986265,181.56700000009732,0.0,52,32
aten::index_select,3226.4730000000854,1186.8420000016922,181.56700000009732,175.51900000014575,52,32
aten::resize_,1482.4379999979865,1482.4379999979865,0,0,484,32
aten::arange,38123.24899999949,-11913.39100000207,731.2539999969304,365.6269999984652,304,32
turing_fp16_s1688gemm_fp16_128x256_ldg8_relu_f2f_tn,0,0,40479.246999999625,40479.246999999625,16,32
aten::repeat,3795.077999999834,984.4410000000207,105.30899999901885,0.0,52,32
aten::expand,391.34299999973155,270.37100000027567,0,0,108,32
aten::alias,87.85899999993853,87.85899999993853,0,0,52,32
aten::unfold,369.6129999989935,280.8599999983562,0,0,104,32
aten::expand_as,253.42900000032387,89.30100000070524,0,0,52,32
aten::index,7493.805999998032,5185.8859999985725,841.0890000003856,841.0890000003856,216,32
cudaDeviceGetAttribute,1609.6599999984319,1609.6599999984319,0,0,2057,32
cudaMemsetAsync,6043.810999998299,6043.810999998299,0,0,2248,32
cuLaunchKernel,14753.296000001515,14753.296000001515,0,0,1700,32
"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",0,0,175.51900000014575,175.51900000014575,52,32
"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",0,0,365.6269999984652,365.6269999984652,152,32
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1})",0,0,101.82099999900674,101.82099999900674,52,32
